comparison,overall_fst,n1,n2
str_BEA~str_MAC,0.1444,21,17
str_BEA~str_MAE,0.0915,21,5
str_BEA~str_MAR,0.0894,21,20
str_BEA~str_MAU,0.1111,21,4
str_BEA~str_MEI,0.1142,21,17
str_BEA~str_MHK,0.214,21,24
str_BEA~str_MIL,0.2486,21,37
str_BEA~str_MOH,0.13,21,10
str_BEA~str_MPH,0.2283,21,12
str_BEA~str_MRB,0.0836,21,5
str_BEA~str_MRV,0.0959,21,5
str_BEA~str_MSQ,0.1506,21,3
str_BEA~str_MUR,0.1996,21,14
str_BEA~str_NFB,0.0971,21,7
str_BEA~str_NFC,0.1694,21,16
str_BEA~str_NFG,0.0712,21,7
str_BEA~str_OHR,0.2894,21,1
str_BEA~str_PEC,0.0775,21,15
str_BEA~str_PKC,0.0944,21,2
str_BEA~str_POI,0.1243,21,16
str_BEA~str_POL,0.1342,21,19
str_BEA~str_ROC,0.0839,21,22
str_BEA~str_SEC,0.1267,21,6
str_BEA~str_SHE,0.0938,21,3
str_BEA~str_SIL,0.1543,21,6
str_BEA~str_SLK,0.188,21,20
str_BEA~str_SNO,0.1103,21,8
str_BEA~str_TCR,0.0863,21,23
str_BEA~str_TNY,0.1421,21,15
str_BEA~str_TOJ,0.1008,21,17
str_BEA~str_TRB,0.0845,21,8
str_BEA~str_UNK,0.1749,21,1
str_BEA~str_UWF,0.3185,21,9
str_BEA~str_WAC,0.1529,21,25
str_BEA~str_WHO,0.1169,21,8
str_BEA~str_WIC,0.1514,21,27
str_BEA~str_WIL,0.0525,21,8
str_BEA~str_WLN,0.0981,21,22
str_BEA~str_WMR,0.0772,21,7
str_BGA~str_BYD,0.1136,3,16
str_BGA~str_CCC,0.2019,3,10
str_BGA~str_CMC,0.1722,3,14
str_BGA~str_COY,0.0747,3,25
str_BGA~str_CRA,0.3147,3,21
str_BGA~str_CWC,0.0483,3,9
str_BGA~str_DIX,0.3614,3,9
str_BGA~str_EFC,0.2789,3,8
str_BGA~str_FCC,0.159,3,9
str_BGA~str_FOR,0.0839,3,22
str_BGA~str_FRZ,0.197,3,24
str_BGA~str_GAN,0.1114,3,23
str_BGA~str_GOC,0.2815,3,10
str_BGA~str_HAN,0.1027,3,18
