pop,pcrit,Neb,Neb_lCI,Neb_uCI,He_Ne,He_lCIp,He_uCIp,LDNe,LDNe_lCIp,LDNe_uCIp,LDNe_lCIj,LDNe_uCIj,facet
str_UWF,0.01,5.7,3.9,7.8,4,3.2,5.4,Inf,Inf,Inf,Inf,Inf,stream
str_WAC,0.05,1.5,1.1,1.9,3.8,2.6,7.6,Inf,75.8,Inf,18.1,Inf,stream
str_WAC,0.02,1.5,1.1,1.9,9.2,6.1,19.4,Inf,Inf,Inf,27.5,Inf,stream
str_WAC,0.01,1.5,1.1,1.9,9.3,6.2,19.7,Inf,3610.6,Inf,27.6,Inf,stream
str_WHO,0.05,5.8,2,11.5,4.5,3.1,8.6,Inf,Inf,Inf,Inf,Inf,stream
str_WHO,0.02,5.8,2,11.5,4.5,3.1,8.6,Inf,Inf,Inf,Inf,Inf,stream
str_WHO,0.01,5.8,2,11.5,4.5,3.1,8.6,Inf,Inf,Inf,Inf,Inf,stream
str_WIC,0.05,1.4,1,1.9,3.8,2.6,7.8,64.7,41.1,132.6,23,Inf,stream
str_WIC,0.02,1.4,1,1.9,4.8,3.2,10.9,110.8,62.8,367.3,28.7,Inf,stream
str_WIC,0.01,1.4,1,1.9,9,5.8,21.4,43,36.6,51.7,17.4,Inf,stream
str_WIL,0.05,4,2.2,6.4,4.9,3.2,12.1,Inf,Inf,Inf,Inf,Inf,stream
str_WIL,0.02,4,2.2,6.4,4.9,3.2,12.1,Inf,Inf,Inf,Inf,Inf,stream
str_WIL,0.01,4,2.2,6.4,4.9,3.2,12.1,Inf,Inf,Inf,Inf,Inf,stream
str_WLN,0.05,1.7,1.1,2.4,3.7,2.7,6,173,69.3,Inf,23.9,Inf,stream
str_WLN,0.02,1.7,1.1,2.4,5.5,4.1,9,4225.6,191.4,Inf,32.2,Inf,stream
str_WLN,0.01,1.7,1.1,2.4,6.5,4.7,10.8,Inf,673.7,Inf,40.9,Inf,stream
str_WMR,0.05,2.4,1.7,3.2,20.9,5.1,Inf,Inf,Inf,Inf,3,Inf,stream
str_WMR,0.02,2.4,1.7,3.2,20.9,5.1,Inf,Inf,Inf,Inf,3,Inf,stream
str_WMR,0.01,2.4,1.7,3.2,20.9,5.1,Inf,Inf,Inf,Inf,3,Inf,stream
CAR,0.05,0.7,0.6,0.8,4.9,3.1,12.8,16.8,15,18.8,9.4,30.7,watershed
