Creek	Basin	year	Relative.percent.RBT	pred_pi	pi	pred_ho	ho	pred_Het.Hom	Het.Hom	pred_Tajimas.theta.4Nu	Tajimas.theta.4Nu	pred_Wattersons.theta.4Nu	Wattersons.theta.4Nu	pred_ne.rand	ne.rand	pred_theta_diff	theta_diff	pred_LDNe_0.01	LDNe_0.01	pred_LDNe_0.02	LDNe_0.02	LDNe_0.05	n
Mill	Walker	2017	0.0166666666666667	0.0193777994884216	0.0134760978998588	0.0273738879058977	0.0202595325016523	0.0279040049382425	0.0222471808618877	0.000128790162193579	9.84525e-05	0.000159456842630286	0.000103361	9.67686284204697	4	-0.212780566135951	-0.0486439212441189	NA	NA	NA	NA	NA	18
Mohawk	Reese	2000	0.019047619047619	0.005226279057615	0.00458559574575446	0.00470218063075726	0.0050095417268695	0.00599647383133141	0.00722710363623288	8.20277798629176e-05	9.46797e-05	9.28554238111139e-05	0.000118345	21.1808524075992	9	-0.123827145440202	-0.222183624715819	17.9126393800467	17.5	17.9141659979112	17.5	NA	21
Mohawk	Reese	2016	0	0.00528211642781005	0.00502679994205418	0.00613269181839131	0.00491090830073881	0.00889435069479867	0.00654190333933608	0.000132946459201801	9.0758e-05	0.000173513116835052	0.000109086	7.84308637839453	20	-0.264743938876773	-0.183423069994596	NA	NA	NA	NA	NA	5
Mosquito	Steens out of basin	2000	0	0.00788692924759612	0.00751633986928105	0.00789901252620579	0.00751633986928105	0.00796370747510082	0.00742915706880716	8.21680545663227e-05	7.12927e-05	9.68564858540342e-05	7.35488e-05	12.0000000000003	12	-0.164094053845606	-0.0311526737847923	NA	NA	NA	NA	NA	4
Murphy	Walker	2011	0	0.023185090775608	0.0210320697214537	0.0301749917273379	0.0279842990852165	0.0316082057791369	0.0258635710821686	0.000132257404434795	0.00011962	0.000190519403953941	0.000149326	16.0000000000001	16	-0.36100486779074	-0.220906799134399	NA	NA	NA	NA	NA	12
Murray Canyon	Carson	2017	0.015	0.0191608597770551	0.0196015965090942	0.0251694092304975	0.026107030405017	0.0252847211261983	0.0270737564876514	0.000216251013177232	0.000198815	0.00022052032450468	0.000188659	21.0188517939697	21	-0.0195494115987859	0.0524215818351682	NA	NA	NA	NA	635.4	20
North Fork Battle	Quinn	2016	0	0.00915931407260894	0.00826653427696452	0.00961400074631133	0.00866393493512138	0.0110840108578498	0.00904653747860954	0.000181199162346705	0.000165811	0.000225695691729981	0.000193586	42.0000000000008	42	-0.218712667105347	-0.154564451010999	NA	NA	NA	NA	NA	7
North Fork Cold	East Fork Humboldt	2012	0	0.00835365783243997	0.00630497684770239	0.00942652009010284	0.00676961916320763	0.0125498935543216	0.00668572373298299	0.000207510206412634	0.000214948	0.000217214769972856	0.00019566	11.9999999999993	12	-0.0456981063030963	0.0939484861473716	NA	NA	NA	NA	NA	18
North Fork Green	South Fork Humboldt	2009	0	0.00940158504002295	0.00754193655106302	0.0104115265786542	0.00849009747314832	0.0123755944526606	0.0084161490416346	0.000179523658671293	0.000144463	0.000194762695828862	0.000139915	18.9999999999999	19	-0.0814298302588181	0.031985596635464	NA	NA	NA	NA	NA	8
Pearl	South Fork Humboldt	2018	0.0894736842105263	0.0165914723830444	0.0179797803231463	0.0183836611864994	0.0198103444285445	0.018888660514399	0.0199688193241405	0.000230124445759042	0.000270334	0.00028604358214146	0.000336798	31.1124492973651	31	-0.216670283162897	-0.218944150530692	40.7461702123669	38.8	40.7475309665036	38.8	47.6	19
Pike	Steens out of basin	2000	0	0.00729214061187354	0.00677151594582787	0.00765341199895627	0.0072083879423329	0.00669979540839314	0.00547853560907599	8.49004658373429e-05	7.82764e-05	9.7210212385409e-05	7.43393e-05	NA	NA	-0.135189728226801	0.0515949538612344	NA	NA	NA	NA	NA	2
Poison Flat	Carson	2017	0.11	0.0227068229397616	0.0255898534263329	0.0253880465728862	0.0280040632693706	0.0248157744022579	0.0282129934252482	0.000227550961059078	0.00023618	0.000266416595796348	0.0002996	25.1382464891134	25	-0.157361082515975	-0.236738960020904	31.6939303903023	29.3	31.6946482049033	29.3	NA	20
Pole	Truckee	2016	0.225	0.0193086722335238	0.0235078102546766	0.021721379625806	0.0263548371637566	0.0266777003315669	0.0333178818126052	0.000277855169160438	0.000310752	0.000356241768507417	0.000428243	38.2827769095507	38	-0.247238536225321	-0.317975087788145	78.6891011398079	73.8	78.6961645405193	73.8	NA	19
Rock	Rock	2009	0	0.0170437481440373	0.0176370957811875	0.017062084450979	0.0177982491215868	0.0198700109529109	0.0163793219085386	0.000234416657817205	0.000258105	0.000259112022858018	0.000300371	40.3501513356095	46	-0.100076716947941	-0.151361920655498	NA	NA	NA	NA	NA	14
