OffspringID1	OffspringID2	Probability
NFH_FOR_1997_053	NFH_FOR_1997_055	0.003
NFH_FOR_1997_053	NFH_FOR_1997_111	0.023
NFH_FOR_1997_054	NFH_FOR_1997_081	0.002
NFH_FOR_1997_055	NFH_FOR_1997_111	0.005
NFH_FOR_1997_081	NFH_FOR_1997_111	0.007
NFH_FOR_2017_014	NFH_FOR_2017_055	0.022
NFH_FOR_2017_021	NFH_FOR_2017_025	0.812
NFH_FOR_2017_021	NFH_FOR_2017_107	0.485
NFH_FOR_2017_025	NFH_FOR_2017_107	0.471
NFH_FOR_2017_051	NFH_FOR_2017_105	0.024
NFH_FOR_2017_051	NFH_FOR_2017_129	0.051
NFH_FOR_2017_055	NFH_FOR_2017_078	0.013
NFH_FOR_2017_055	NFH_FOR_2017_105	0.032
NFH_FOR_2017_055	NFH_FOR_2017_115	0.147
NFH_FOR_2017_059	NFH_FOR_2017_105	0.06
NFH_FOR_2017_065	NFH_FOR_2017_129	0.006
NFH_FOR_2017_067	NFH_FOR_2017_118	0.755
NFH_FOR_2017_078	NFH_FOR_2017_102	0.004
NFH_FOR_2017_078	NFH_FOR_2017_105	0.033
NFH_FOR_2017_078	NFH_FOR_2017_115	0.244
NFH_FOR_2017_102	NFH_FOR_2017_105	0.003
NFH_FOR_2017_102	NFH_FOR_2017_129	0.006
NFH_FOR_2017_105	NFH_FOR_2017_107	0.006
NFH_FOR_2017_105	NFH_FOR_2017_110	0.188
NFH_FOR_2017_105	NFH_FOR_2017_115	0.077
NFH_FOR_2017_105	NFH_FOR_2017_129	0.082
NFH_FOR_2017_110	NFH_FOR_2017_129	0.177
NFH_FOR_2017_124	NFH_FOR_2017_126	0.026
NFH_FOR_2017_124	NFH_FOR_2017_129	0.014
NFH_GAN_2000_101	NFH_GAN_2000_108	0.012
NFH_GAN_2000_101	NFH_GAN_2000_109	0.001
NFH_GAN_2000_101	NFH_GAN_2000_111	0.009
NFH_GAN_2000_102	NFH_GAN_2000_108	0.009
NFH_GAN_2000_102	NFH_GAN_2000_109	0.002
NFH_GAN_2000_108	NFH_GAN_2000_109	0.031
NFH_GAN_2000_108	NFH_GAN_2000_110	0.005
NFH_GAN_2000_108	NFH_GAN_2000_111	0.016
NFH_GAN_2000_109	NFH_GAN_2000_110	0.009
NFH_GAN_2000_109	NFH_GAN_2000_111	0.003
NFH_GAN_2000_110	NFH_GAN_2000_111	0.141
NFH_GAN_2017_003	NFH_GAN_2017_011	0.004
NFH_GAN_2017_003	NFH_GAN_2017_012	0.004
NFH_GAN_2017_003	NFH_GAN_2017_013	0.303
NFH_GAN_2017_003	NFH_GAN_2017_020	0.003
NFH_GAN_2017_004	NFH_GAN_2017_017	0.003
NFH_GAN_2017_005	NFH_GAN_2017_010	0.714
NFH_GAN_2017_005	NFH_GAN_2017_018	0.545
NFH_GAN_2017_008	NFH_GAN_2017_011	0.082
NFH_GAN_2017_008	NFH_GAN_2017_012	0.028
NFH_GAN_2017_009	NFH_GAN_2017_014	0.997
NFH_GAN_2017_010	NFH_GAN_2017_018	0.977
NFH_GAN_2017_011	NFH_GAN_2017_012	0.676
PPT_LNF_2016_001	PPT_LNF_2016_002	0.003
